Link,Lat,Lng
"<b><a href='https://www.inspirapr.com/'>Inspira, Humacao</a></b><br>Centro Comercial Humacao, Edif. 10A, Local 3 y 4</br>Humacao, PR<br><b>(787) 704-0705</b>",18.15083817,-65.82884107
"<b><a href='https://www.inspirapr.com/'>Inspira, Guayama</a></b><br>La Fuente Town Center</br>Guayama, PR<br><b>(787) 704-0705</b>",17.97415305,-66.11612602
"<b><a href='https://www.inspirapr.com/'>Inspira, Coamo</a></b><br>Coamo Plaza Shopping Center, Carr. 153, Km 13.7</br>Coamo, PR<br><b>(787) 704-0705</b>",18.0580413,-66.3692085
"<b><a href='https://www.inspirapr.com/'>Inspira, Yauco</a></b><br>Calle Comerío 55 (Al Lado de la Plaza del Mercado)</br>Yauco, PR<br><b>(787) 704-0705</b>",18.03469192,-66.85207942
"<b><a href='https://www.inspirapr.com/'>Inspira, Bayamón</a></b><br>Edif. Centurión, Piso 3</br>Bayamón, PR<br><b>(787) 704-0705</b>",18.39766513,-66.16219152
"<b><a href='https://www.healthpromed.org/'>HealthproMed, San Juan</a></b><br>Ave Borinquen 2020</br>Santurce, PR<br><b>(787) 268-4171</b>",18.43878912,-66.0563541
"<b><a href='https://www.healthpromed.org/'>HealthproMed, Vieques</a></b><br>#171 Cll 65th Infantry Regiment</br>Vieques, PR<br><b>(787) 468-2000</b>",18.14842847,-65.44246423
"<b><a href='https://www.healthpromed.org/'>HealthproMed, Snake</a></b><br>Calle Pedro Marquéz #44</br>Culebra, PR<br><b>(787) 468-2966</b>",18.30444996,-65.29936663
"<b><a href='https://www.healthpromed.org/'>HealthproMed, Carolina</a></b><br>Av. Paseo de los Gigantes</br>Carolina, PR<br><b>(787) 268-4147</b>",18.40656294,-65.96948461
"<b><a href='https://www.healthpromed.org/'>HealthproMed, Guaynabo/Catano</a></b><br>119 Av. Juan Ponce de Leon</br>Guaynabo, PR<br><b>(787) 773-1133</b>",18.4368611,-66.11621514
"<b><a href='https://www.albizu.edu/clinic/albizu/#cl-servicios-salud'>Albizu Clinic</a></b><br>Tanca Street 151</br>Old San Juan, PR<br><b>(787) 725-6500</b>",18.4668763,-66.11369013
"<b><a href='https://metro.inter.edu/servicios-psicologicos/'>Interamerican Clinic</a></b><br>100 Francisco Sein Street</br>San Juan, PR<br><b>(787) 250-1912</b>",18.36951392,-66.07773617
"<b><a href='http://www.neomedcenter.org/'>NeoMed Center, Gurabo</a></b><br>Carr. 941 Salida Bo. Jaguas Calle San Antonio Final</br>Gurabo, PR<br><b>(787) 737-2311</b>",18.25799727,-65.97499146
"<b><a href='http://www.neomedcenter.org/'>NeoMed Center, San Lorenzo</a></b><br>Calle Condado #11</br>San Lorenzo, PR<br><b>(787) 715-3620</b>",18.18535109,-65.96215798
"<b><a href='http://www.neomedcenter.org/'>NeoMed Center, Trujillo Alto</a></b><br>Urbanización Lago Alto Calle Carite #130</br>Trujillo Alto, PR<br><b>(787) 748-0450</b>",18.36402061,-66.00530469
"<b><a href='http://www.neomedcenter.org/'>NeoMed Center, Aguas Buenas Pueblo</a></b><br>Calle Rafael Loza #32 Esquina Monserrate</br>Aguas Buenas, PR<br><b>(787) 737-2311</b>",18.25717289,-66.10443823
"<b><a href='http://www.neomedcenter.org/'>NeoMed Center, Juncos</a></b><br> Car. #31</br>Juncos, PR<br><b>(787) 737-2311</b>",18.2328671,-65.90851937
"<b><a href='http://www.neomedcenter.org/'>NeoMed Center, Naguabo</a></b><br>Car. #31 Km. 3.7 Lot #2</br>Naguabo, PR<br><b>(787) 718-0339</b>",18.21254162,-65.73485706
"<b><a href='http://www.neomedcenter.org/'>NeoMed Clinic</a></b><br>Car. #189 Parque Industrial Lote #4, Bo. Rincón</br>Gurabo, PR<br><b>(787) 737-2311</b>",18.25100115,-65.98334919
"<b><a href='https://www.concilioloiza.org/index.html'>Loíza Integral Health Council</a></b><br>Carretera #188 Int. #187</br>Loíza, PR<br><b>(787) 876-2042</b>",18.42702123,-65.88016636
"<b><a href='https://www.concilioloiza.org/index.html'>Rio Grande Family Clinic</a></b><br>Calle Pimentel #16 Bo. Las Flores</br>Rio Grande, PR<br><b>(787) 876-2042</b>",18.37891718,-65.83714309
"<b><a href='https://www.concilioloiza.org/index.html'>Luquillo Family Clinic</a></b><br>Carr. #193 km 1.1</br> Luquillo, PR<br><b>(787) 876-2042</b>",18.37992344,-65.72097434
"<b><a href='https://www.concilioloiza.org/index.html'>Ceiba Family Clinic</a></b><br>Calle Escolástico López # 673</br>Ceiba, PR<br><b>(787) 936-2006</b>",18.26380467,-65.64913434
"<b><a href='https://cossma.org/'>COSSMA, Cidra.</a></b><br>Ave El Jibaro Carr #172 Km 13.5 Bo</br>Cidra, PR<br><b>+(787) 739-8182</b>",18.17921121,-66.15451046
"<b><a href='https://cossma.org/'>COSSMA, Saint Lawrence</a></b><br>Muñoz Rivera Street, No. 186</br>San Lorenzo, PR<br><b>(787) 739‑8182 Ext. 1100</b>",18.18688635,-65.96309327
"<b><a href='https://cossma.org/'>COSSMA, Humacao</a></b><br>Boulevard del Río Ramal #3</br>Humacao, PR<br><b>(787) 739‑8182 Ext. 1300</b>",18.14584298,-65.82018297
"<b><a href='https://cossma.org/'>COSSMA, Yabucoa</a></b><br>Bo. Juan Martín Carr. 901 km 1.6</br>Yabucoa, PR<br><b>(787) 739‑8182 Ext. 1400</b>",18.0438181,-65.864788
"<b><a href='https://cossma.org/'>COSSMA, The Stones</a></b><br>Tejas Industrial Center Lot 8, Highway 9921 km. 0.3</br>Las Piedras, PR<br><b>(787) 739‑8182 Ext. 1600</b>",18.17880547,-65.86951625
"<b><a href='https://cossma.org/'>COSSMA, Aibonito</a></b><br>Calle Ignacio López Colón</br>Aibonito, PR<br><b>(787) 739‑8182 Ext. 1700</b>",18.13745558,-66.26416399
"<b><a href='https://cossma.org/'>COSSMA, Naguabo</a></b><br>Carr. 31, KM 9.6 Bo.</br>Naguabo, PR<br><b>(787) 739-8182 Ext. 1800</b>",18.22579132,-65.78596242
"<b><a href='https://www.psm.edu/interdisciplinary-clinical-services/'>Interdisciplinary Clinical Services</a></b><br>388 Zona Industrial Reparada 2</br>Ponce, PR<br><b>(787) 812-2525</b>",17.9937826,-66.61972609
"<b><a href='http://migrantspr.com/'>Migrant Health Center, Mayagüez</a></b><br>Calle Ramón E. Betances #392</br>Mayagüez, PR<br><b>(787) 833-5890</b>",18.18596703,-67.145515
"<b><a href='http://migrantspr.com/'>Migrant Health Center, San Sebastian</a></b><br>Carr. #119 Km. 35.2 Bo. Piedras Blancas</br>San Sebastian, PR<br><b>(787) 896-1665</b>",18.33536817,-66.98583403
"<b><a href='http://migrantspr.com/'>Migrant Health Center, Lajas</a></b><br>Carr. #101 Km. 7.1 Bo. Palmarejo</br>Lajas, PR<br><b>(787) 808-3509</b>",18.04891237,-67.07526932
"<b><a href='http://migrantspr.com/'>Migrant Health Center, Guánica</a></b><br>Carr. 324 Km. 2.1 Bo. Ensenada El Batey</br>[CITY]<br><b>(787) 821-4511</b>",17.97462035,-66.93747635
"<b><a href='http://migrantspr.com/'>Migrant Health Center, Maricao</a></b><br>Calle Zuzuarregui #7</br>Maricao, PR<br><b>(787) 838-3029</b>",18.18769552,-66.97871171
"<b><a href='http://migrantspr.com/'>Migrant Health Center, Clínica Ama</a></b><br>Ave. Dunscombe #189</br>Mayagüez, PR<br><b>(787) 827-3798</b>",18.21485088,-67.15626745
"<b><a href='http://migrantspr.com/'>Migrant Health Center, Cabo Rojo</a></b><br>Carr. 100 km 6.1</br>Cabo Rojo, PR<br><b>(787) 254-0816</b>",18.10004114,-67.15674082
"<b><a href='Programa de Apoyo y Enlace Comunitario'></a></b><br>Ramal 417, Bo. Marías</br>Aguada, PR<br><b>(787) 252-3439</b>",18.36999651,-67.14897079
"<b><a href='https://www.serviciospsicologicos.com/psicologas_clinicas'>Clínica de Servicios Psicológicos y del Desarrollo</a></b><br>Plaza Solá, Barrio Borinquen, Carretera 107 km 2.5</br>Aguadilla, PR<br><b>(939) 339-1402</b>",18.46669289,-67.15259957
"<b><a href='https://hospitalmetrocaborojo.com/'>Hospital Metropolitano Psiquiátrico Cabo Rojo</a></b><br>Muñoz Rivera # 108</br>Cabo Rojo, PR<br><b>(787) 851-2025</b>",18.08508555,-67.1454572
"<b><a href='https://apshealth.com/'>APS Health, Orocovis</a></b><br>Road 155 km. 30.8 Bo. Cat</br>Orocovis, PR<br><b>(787) 641-9133</b>",18.25167129,-66.39861166
"<b><a href='https://apshealth.com/'>APS Health, Ponce</a></b><br>Concordia Street 8118</br>Ponce, PR<br><b>(787) 641-9133</b>",18.01273139,-66.61409342
"<b><a href='https://apshealth.com/'>APS Health, Arecibo</a></b><br>Jose de Diego Avenue #108</br>Arecibo, PR<br><b>(787) 641-9133</b>",18.48141202,-66.71355691
"<b><a href='https://apshealth.com/'>APS Health, Little Orange</a></b><br>Market Plaza PR 152 Km14.6 Bo Cedro Abajo</br>Little Naranjito, PR<br><b>(787) 641-9133</b>",18.28791402,-66.2751692
"<b><a href='https://apshealth.com/'>APS Health, Yauco</a></b><br>Southern Professional Center Carretera 121, Km 13.3</br>Yauco, PR<br><b>(787) 641-9133</b>",18.0472904,-66.88042763
"<b><a href='https://apshealth.com/'>APS Health, Toa Baja</a></b><br>Carr. 867, Km 2.2</br>Toa Baja, PR<br><b>(787) 641-9133</b>",18.46592427,-66.1953334
"<b><a href='https://apshealth.com/'>APS Health, Bayamon</a></b><br>Plaza Tropical Carr 167, Forest Hills</br>Bayamon, PR<br><b>(787) 641-9133</b>",18.41902487,-66.15995038
"<b><a href='https://apshealth.com/'>APS Health, Caguas</a></b><br>Angora Building Ave. Gautier Benítez, Villas #162</br>Caguas, PR<br><b>(787) 641-9133</b>",18.25307947,-66.04059993
"<b><a href='https://apshealth.com/'>APS Health, Guayama</a></b><br>Highway 3, Km. 135.1 Local 9-I-10</br>Guayama, PR<br><b>(787) 641-9133</b>",17.96996393,-66.14694721
"<b><a href='https://apshealth.com/'>APS Health, Mocha</a></b><br>Moca Professional Plaza PR111 Int PR 110 Km 14.5</br>Mocha, PR<br><b>(787) 641-9133</b>",18.41703336,-67.10356789
"<b><a href='https://apshealth.com/'>APS Health, San Juan</a></b><br>VIG Tower Building 1st Floor Ponce de León Ave. #1225</br>Santurce, PR<br><b>(787) 641-9133</b>",18.47391607,-66.07337322
"<b><a href='https://apshealth.com/'>APS Health, Carolina</a></b><br>Carolina Shopping Court PR #3 Km. 9.6</br>Carolina, PR<br><b>(787) 641-9133</b>",18.42615288,-65.95742347
"<b><a href='https://apshealth.com/'>APS Health, Humacao</a></b><br>Plaza Mall Humacao Carr. #3, Km.82 Bo. Down River</br>Humacao, PR<br><b>(787) 641-9133</b>",18.19768421,-65.79766891
